ID;Name;NeOn ODP;Formalization;Example;OWL constructs;Expressivity
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;Can NP<class1> VB1 NEG(be / have / CATV / PART) NP<class2> REPRO VB2 NP<class2> PREP NP<class3>?;Can Dropbox work with data that are output from vsn?;"ObjectProperty
Class (Thing, Nothing)
someValuesFrom";ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;Can PRON VB1 NEG(be / have / CATV / PART) NP<class2> [(PREP NP<class>)*] PREP NP<class3> ?;Can I install Rgraphviz on a university computer? // Can I use some components of ppiStats for my software?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;(What be) | Can NP<class1> VB NEG(be / have / CATV / PART) NP<class2> PREP NP<class3> [(PREP NP<class>)*]?;Can Eclipse export from its proprietary data format to an open format such as csv, txt? //What are the most common genres played by players with a certain character class in a game?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;Which [be] NP<class1> PREP NP<class2> [REPRO] VB NEG(be / have / CATV / PART) NP<class3>?;What are the games where a player can use this item?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;If NP<class> VB NP<class> PREP NP<class>, how VB NP<class>?;If a player is given free item in the game, how likely are they to make an in?app purchase?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN; Lexico Syntactic ODPs corresponding to Object Property ;LP-OP-01 ;How do PRON VB NP<resource>?;How do I cite SPSS?;ObjectProperty, rdfs:subClassOf, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;ADV VB NP<class> PREP NP<class>, how manu NP<class> VB PRON?;After gaining an item in the game, how many players use it?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;Where do NP<class1> VB1 NEG(be / have / CATV / PART) REPRO VB2 NEG(be / have / CATV / PART) NP<class2>?;Where do the players live who have not made any in?-app purchases?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-DP-EN;Lexico Syntactic ODPs corresponding to Datatype Property ODP;LP-DP-01;Property | characteristic | attribute| features of NP<class> be [PARA] [(NP<property>,)* and] NP<property>;Properties of mammals are hair, sweat glands, milk, and giving live birth;Class (Thing, Nothing), someValuesFrom, DatatypeProperty;ALE(D)
LSP-DP-EN;Lexico Syntactic ODPs corresponding to Datatype Property ODP;LP-DP-01;NP<class> be [(AP<property>,)*] and AP<property>;"Metals are lustrous, malleable and good conductors of heat and electricity.
";Class (Thing, Nothing), someValuesFrom, DatatypeProperty;ALE(D)
LSP-DP-EN;Lexico Syntactic ODPs corresponding to Datatype Property ODP;LP-OP-01;"NP<class1> have [CD] attributes [PARA] [(NP<feature>,)* and] NP<feature>    
";Each endpoints has minimun two attributes: URI and mediatype;DatatypeProperty, Class (Thing, Nothing),  someValuesFrom;ALE(D)
LSP-DP-EN;Lexico Syntactic ODPs corresponding to Datatype Property ODP;LP-DP-01;How AP<feature> be NP<class1>?;How reliable is Kakadu?;DatatypeProperty, Class (Thing, Nothing), someValuesFrom;ALE(D)
LSP-DP-EN;Lexico Syntactic ODPs corresponding to Datatype Property ODP;LP-DP-01;Be NP<class1> [PREP] AP<feature>?;Is ppiStats scriptable?;DatatypeProperty, Class (Thing, Nothing), someValuesFrom;ALE(D)
LSP-Di-EN;Lexico Syntactic ODPs corresponding to Disjoint Classes ODP;LP-Di-01;NP<class> differ | be different | be differentiate from NP<class>;Non-opioid agents differ from opioid agents;Class (Thing, Nothing), disjointWith;ALC
LSP-SV-EN;Lexico Syntactic ODPs corresponding to Specified Values ODP;LP-SV-01;NP<feature> can | may be [(AP<value>,)*] or AP<value>;Size may be small, medium, or big;Individual, Class (Thing, Nothing);AL
LSP-PA-EN; Lexico Syntactic ODPs corresponding to Participation ODP;CP-PA-01;NP<object> participate| take part in| be involved in (NP<event>,)* and] NP<event>;Birds build nests;Class (Thing, Nothing), ObjectProperty, someValuesFrom, inverseOf;ALEI
LSP-PCP-EN; Lexico Syntactic ODPs corresponding to Co-participation ODP;CP-PCP-01;(NP<object>,)* and NP<object> participate | (take part) | (be involved) in [(NP<event>,)* and] NP<event>;Aldo Gangemi and Valentina Presutti participate in the ISWC 2007 conference;Class (Thing, Nothing), ObjectProperty, someValuesOf, SymmetricProperty;ALEI
LSP-PCP-EN; Lexico Syntactic ODPs corresponding to Co-participation ODP;CP-PCP-01;NP<object> participate| (take part)| (be involved) with in [(NP<event>,)* and] NP<event>;Action Engine participates with Microsoft at 3GSM World Congress;Class (Thing, Nothing), ObjectProperty, someValuesOf, SymmetricProperty;ALEI
LSP-LO-EN;Lexico Syntactic ODPs corresponding to LocationODP;CP-LO-01;NP<place> be| has (locate | find | set| situate | place| (a site)) in [(NP<location >,)* and] NP<location>;The school is located in Bocas Town;Class (Thing, Nothing), ObjectProperty, someValuesOf;ALE
LSP-OR-EN; Lexico Syntactic ODPs corresponding to Object-Role ODP;CP-OR-01;NP<object> (be used)| work| act| serve as [(NP<role >,)* and] NP<role>;Gold is used as the reflective layer on some high-end CDs;Class (Thing, Nothing), allValuesFrom, ObjectProperty;AL
LSP-CD-EN;Lexico Syntactic Pattern corresponding to Class Definition;;What | Who  | Which be NP<class> ?;What is a servient?;Class (Thing, Nothing);AL
LSP-CD-EN;Lexico Syntactic Pattern corresponding to Class Definition;;Be there [a | any] NP<class>? ;Is there a community development?;Class (Thing, Nothing);AL
LSP-CD-EN;Lexico Syntactic Pattern corresponding to Class Definition;;Which NP<class> be there?;Which devices are there?;Class (Thing, Nothing);AL
LSP-CD-EN;Lexico Syntactic Pattern corresponding to Class Definition;;Which NP<class> can PRON see?;Which devices can I see?;Class (Thing, Nothing);AL
LSP-CD-EN;Lexico Syntactic Pattern corresponding to Class Definition;;Express NP<class>;"Express complex constraints such as 'No use in UK after 7 days'.
";Class (Thing, Nothing);AL
LSP-CD-EN;Lexico Syntactic Pattern corresponding to Class Definition;;Be able | possible to define NP<class>;Being able to define a 'unit-of-count' for duty actions;Class (Thing, Nothing);AL
LSP-CD-EN;Lexico Syntactic Pattern corresponding to Class Definition;;There be NP<class>;There are building elements;Class (Thing, Nothing);AL
LSP-OP-Min-EN;Lexico Syntactic Pattern corresponding to ObjectProperty Minimum Cardinality  related to a Datatype Property or Object Property ODP;;NP<class1> VB NEG(have) (at least CD) | (minimum CD) | (more than CD) | (CD NEG(zero) or more) NP<class2>;A device performs one or more functions;Class (Thing, Nothing), ObjectProperty, minCardinality;ALQ
LSP-OP-Max-EN;Lexico Syntactic Pattern corresponding to ObjectProperty Maximum Cardinality  related to a Datatype Property or Object Property;;NP<class1> VB NEG(have) (at most) | maximum CD NP<class2>;An access mapping can be applied at most to one endpoint;Class (Thing, Nothing), ObjectProperty, maxCardinality ;ALQ
LSP-SYM-EN;Lexico Syntactic Pattern corresponding to Symmetry;;A NP<property> VB between N<class>;A partnership is established between organizations;SymmetricProperty, ObjectProperty, Class (Thing, Nothing);ALI
LSP-U-EN;Lexico Syntactic Pattern corresponding to Union;;NP<class1> VB NP<class2> or [(NP<class>,)* or ] PRON [VB NEG(be)] NP<class3>;A mapping can transform keys to object properties or datatype properties.;unionOf, ObjectProperty, Class (Thing, Nothing);ALU
LSP-INTER-EN;Lexico Syntactic Pattern corresponding to Intersection;;NP<class1> VB NP<class2> REPRO VB NP<class3>;An endpoint can be relative to an endpoint that must not be relative.;ObjectProperty, Class (Thing, Nothing), intersectionOf;ALE
LSP-LO-EN;Lexico Syntactic ODPs  corresponding to LocationODP;LP-OP-01;Where be NP<class> VB?;Where is something located?;rdfs:subClassOf;AL
LSP-COMPL-EN;Lexico Syntactic ODPs  corresponding to complementOf;;Which be NP<class> REPRO VB not NP<class>?;Which are the heliport  that are not under state control?;Class, ObjectProperty, someValuesFrom , complementOf;ALC
LSP-COMPL-EN;Lexico Syntactic ODPs  corresponding to complementOf;;Which be NP<class> REPRO do  not VB  PREP NP<class>?;Which are the heliport  that do not belong to the trans-European transport network?;Class, ObjectProperty, someValuesFrom , complementOf;ALC
LSP-COMPL-EN;Lexico Syntactic ODPs  corresponding to complementOf;;NP<class> can be AP<feature> NP<class> PRON must not be AP<feature> ;An endpoint can be relative to an endpoint that must not be relative;Class, ObjectProperty, someValuesFrom , complementOf;ALC
